locname r0  phi0  z0  dr  dphi  dz (r1  phi1  z1  dr1  dphi1  dz1)
louvre12   0.75 -27.3 -1.825 0.75 0 0 0.75 -25.3 -1.825 0.75 0 0
louvre3 0.8 16.9 -1.825 0.75 0 0
louvre3a   0.80 16.8 -1.825 0.75 0 0 0.80 17.2 -1.825 0.7 0 0
louvre3a2   0.80 16 -1.825 0.75 0 0 0.80 20 -1.825 0.75 0 0
louvre3a3   0.80 17.5 -1.825 0.75 0 0 0.80 20 -1.825 0.75 0 0
louvre3a4   0.80 19 -1.825 0.75 0 0 0.80 20.3 -1.825 0.75 0 0
louvre3-2   0.80 20 -1.825 0.75 0 0
louvre3-3   0.80 18.5 -1.825 0.75 0 0
louvre3-4   0.80 20.3 -1.825 0.75 0 0
louvre3-8   0.80 -41.5 -1.825 0.75 2 0 0.80 -42.5 -1.825 0.75 2 0
louvre3-8a   0.80 -41.7 -1.825 0.75 2 0 0.80 -41.3 -1.825 0.75 2 0
louvre3-8b   0.80 -42.5 -1.825 0.75 2 0 0.80 -43.5 -1.825 0.75 2 0
louvre3-8c   0.80 -42.5 -1.825 0.75 0.7 0 0.80 -43.5 -1.825 0.75 0.7 0
louvre3-8d   0.80 -42.8 -1.825 0.75 2.5 0 0.80 -43.8 -1.825 0.75 2.5 0
louvre4 0.85 24.5 -1.825 0.75 0 0
louvre4-1   0.80 24 -1.825 0.75 0 0 
louvre4-2   0.80 26.5 -1.825 0.75 0 0
louvre4-3   0.80 25.5 -1.825 0.75 0 0
louvre4a   0.80 24 -1.825 0.75 0 0 0.80 26.5 -1.825 0.75 0 0
louvre4as   0.80 24 -1.825 0.75 0 0 0.80 24.2 -1.825 0.75 0 0
louvre4a2   0.80 23.5 -1.825 0.75 0 0 0.80 27.5 -1.825 0.75 0 0
louvre5 0.85 33 -1.825 0.75 0 0
louvre5-1 0.85 33 -1.825 0.75 -3 0
louvre5a   0.80 31.5 -1.825 0.75 0 0 0.80 34 -1.825 0.75 0 0
louvre5a2   0.80 31 -1.825 0.75 0 0 0.80 35 -1.825 0.75 0 0
louvre7 0.85 54. -1.825 0.75 0 0
louvre8 0.85 55.5 -1.825 0.75 0 0
louvre9 0.85 63 -1.825 0.75 0 0
louvre10 0.85 70.5 -1.825 0.75 0 0
louvre4let 0.80 26.25 -1.825 0.65 -2.5 0
ulouvre1a   0.80 1.5 1.825 0.85 0 0 0.80 4.5 1.825 0.85 0 0
ulouvre2   0.75 11 1.825 0.85 0 0 0.75 13 1.825 0.85 0 0 
ulouvre2a   0.75 9 1.825 0.85 0 0 0.75 12 1.825 0.85 0 0
ulouvre2b  0.75 12 1.825 0.85 0 0 0.75 14 1.825 0.85 0 0
ulouvre2c 0.75 14 1.825 0.85 0 0 0.75 13 1.825 0.85 0 0
ulouvre3 0.85 17 1.825 0.75 0 0
ulouvre3b 0.70 20 1.825 0.75 0 0
ulouvre3a   0.80 16.5 1.825 0.9 0 0 0.80 19 1.825 0.9 0 0
ulouvre4 0.85 24.5 1.825 0.75 0 0
ulouvre425 0.85 36.0 1.825 0.5 0 0
ulouvre4a   0.80 24 1.825 0.75 0 0 0.80 26.5 1.825 0.75 0 0
ulouvre5 0.85 33 1.825 0.75 0 0
ulouvre4let 0.80 26.25 1.825 0.65 -2.5 0
ulouvre5a   0.80 31.5 1.825 0.75 0 0 0.80 34 1.825 0.75 0 0
ulouvre6	0.85 40.5 1.825 0.75 0 0
ulouvre6b 0.80 -40.5 1.825 0.75 0 0 0.80 -39.5 1.825 0.75 0 0
ulouvre7 0.80 -32.5 1.825 0.75 -1 0
ulouvre7b 0.80 -32.5 1.825 0.75 0 0 0.80 -31.5 1.825 0.75 0 0
ulouvre7c 0.80 -34.0 1.825 0.75 0 0 0.80 -33.0 1.825 0.75 0 0
ulouvre7d 0.80 -35.0 1.825 0.75 4.0 0 0.80 -34.0 1.825 0.75 4.0 0
ulouvre7e 0.80 -32.0 1.825 0.75 1.0 0 0.80 -33.0 1.825 0.75 1.0 0
ulouvre8 0.80 -31.5 1.825 0.75 -1 0 0.80 -34 1.825 0.75 -1 0
ulouvre8b 0.80 -26.8 1.825 0.60 0  0 0.80 -25.8 1.825 0.60 0  0
ulouvre8c 0.80 -25.4 1.825 0.60 0 0 0.80 -24.4 1.825 0.60 0 0
ulouvre9 0.80 -18.5 1.825 0.60 0 0 0.80 -17.5 1.825 0.60 0 0
ulouvre9t 0.80 -18.5 1.825 0.60 -2.5 0 0.80 -17.5 1.825 0.60 -2.5 0
ulouvre9b 0.80 -18.8 1.825 0.75 0 0 0.80 -17.8 1.825 0.75 0 0
ulouvre10b 0.80 -11.8 1.825 0.75 0 0 0.8 -10.8 1.825 0.75 0 0
recip1	1.1 340 0.0 0.5 0 0
gdc210  1.500 150 0.900 0.0 0 -1.8
cc70    0.196 70 -1.0675 0.0 0 2.135
l60m    0.85 60 -1.982 0.53 0 0
l60ma   0.85 64.5 -1.982 0.53 -1.8 0 0.85 55.0 -1.982 0.53 1.8 0
l30m    0.85 33.22 -1.981 0.53 -1.50 0
l30ma   0.85 33.7 -1.981 0.53 -1.6 0 0.85 32.8 -1.981 0.53 -1.25 0
l60ms+2 0.85 62 -1.982 0.54 0 0
l60ml   0.8 58 -1.982 0.7 0.9 0
l60mt   0.8 62 -1.982 0.7 -0.9 0
l60su	0.8 53.16 -2.0 0.7 3.18 0
l60sm	0.8 53.16 -2.015 0.7 3.18 0
l60sl   0.8 53.16 -2.03 0.7 3.18 0
l90su   0.8 91.79 -2.0 0.7 -0.835 0
l90sm   0.8 91.79 -2.015 0.7 -0.835 0
l90sl   0.8 91.79 -2.03 0.7 -0.835 0
u30su   0.8 28.21 2.0 0.7 0.835 0
u30m    0.8 26.78 1.981 0.7 1.50 0
cclsp   0.281 0.0 -1.42 0.0 0.0 0.22
