x,y,z
0.900963885,0.047217516,-1.30104601
0.90106124,0.044857486,-1.301022809
0.901152414,0.042497269,-1.300999609
0.901237407,0.040136882,-1.300976409
0.901316217,0.037776342,-1.30095321
0.901388846,0.035415664,-1.300930012
0.901455293,0.033054865,-1.300906814
0.901515557,0.030693961,-1.300883617
0.901569639,0.028332967,-1.30086042
0.901617538,0.025971901,-1.300837224
0.901659255,0.023610779,-1.300814028
0.901694789,0.021249615,-1.300790833
0.901724141,0.018888428,-1.300767639
0.901747311,0.016527233,-1.300744445
0.901764299,0.014166046,-1.300721252
0.901775104,0.011804883,-1.300698059
0.901779728,0.00944376,-1.300674867
0.901778171,0.007082695,-1.300651676
0.901770433,0.004721702,-1.300628485
0.901756514,0.002360798,-1.300605295
0.901736414,0,-1.300582105
0.901710135,-0.002360677,-1.300558916
0.901677677,-0.004721216,-1.300535728
0.90163904,-0.007081602,-1.30051254
0.901594224,-0.009441818,-1.300489353
0.901543232,-0.011801847,-1.300466166
0.901486062,-0.014161675,-1.30044298
0.901422716,-0.016521284,-1.300419795
0.901353194,-0.018880658,-1.30039661
0.901277498,-0.021239781,-1.300373426
0.901195628,-0.023598638,-1.300350242
0.901107586,-0.025957212,-1.300327059
0.901013371,-0.028315486,-1.300303876
0.900912985,-0.030673445,-1.300280695
0.900806429,-0.033031072,-1.300257513
0.900693704,-0.035388352,-1.300234333
0.900574812,-0.037745268,-1.300211153
0.900449752,-0.040101804,-1.300187973
0.900318527,-0.042457944,-1.300164794
0.900181138,-0.044813672,-1.300141616
0.900037585,-0.047168971,-1.300118438
0.899887871,-0.049523826,-1.300095261
0.899731996,-0.05187822,-1.300072085
0.899569962,-0.054232138,-1.300048909
0.89940177,-0.056585563,-1.300025733
0.899227423,-0.058938479,-1.300002559
0.89904692,-0.06129087,-1.299979385
0.898860265,-0.06364272,-1.299956211
0.898667458,-0.065994013,-1.299933038
0.898468501,-0.068344732,-1.299909866
0.898263396,-0.070694862,-1.299886694
0.898052144,-0.073044387,-1.299863523
0.897834748,-0.07539329,-1.299840352
0.897611208,-0.077741556,-1.299817183
0.897381528,-0.080089168,-1.299794013
0.897145708,-0.08243611,-1.299770844
0.896903752,-0.084782366,-1.299747676
0.89665566,-0.087127921,-1.299724509
0.896401434,-0.089472758,-1.299701342
0.896141078,-0.091816861,-1.299678175
0.895874592,-0.094160214,-1.29965501
0.89560198,-0.096502801,-1.299631844
0.895323242,-0.098844606,-1.29960868
0.895038383,-0.101185613,-1.299585516
0.894747402,-0.103525807,-1.299562352
0.894450304,-0.10586517,-1.29953919
0.894147091,-0.108203687,-1.299516027
0.893837764,-0.110541343,-1.299492866
0.893522326,-0.11287812,-1.299469705
0.89320078,-0.115214004,-1.299446544
0.892873128,-0.117548977,-1.299423385
0.892539373,-0.119883025,-1.299400225
0.892199518,-0.122216131,-1.299377067
0.891853564,-0.12454828,-1.299353909
0.891501515,-0.126879455,-1.299330751
0.891143373,-0.12920964,-1.299307594
0.890779142,-0.13153882,-1.299284438
0.890408824,-0.133866978,-1.299261282
0.890032421,-0.136194099,-1.299238127
0.889649937,-0.138520167,-1.299214973
0.889261375,-0.140845165,-1.299191819
0.888866738,-0.143169079,-1.299168666
0.888466028,-0.145491892,-1.299145513
0.888059249,-0.147813588,-1.299122361
0.887646404,-0.150134151,-1.29909921
0.887227496,-0.152453567,-1.299076059
0.886802528,-0.154771817,-1.299052908
0.886371503,-0.157088888,-1.299029759
0.885934425,-0.159404763,-1.29900661
0.885491297,-0.161719426,-1.298983461
0.885042122,-0.164032862,-1.298960313
0.884586904,-0.166345054,-1.298937166
0.884125646,-0.168655987,-1.298914019
0.883658352,-0.170965645,-1.298890873
0.883185024,-0.173274013,-1.298867727
0.882705668,-0.175581074,-1.298844583
0.882220285,-0.177886813,-1.298821438
0.881728881,-0.180191214,-1.298798294
0.881231458,-0.182494262,-1.298775151
0.88072802,-0.18479594,-1.298752009
0.880218572,-0.187096233,-1.298728867
0.879703116,-0.189395126,-1.298705725
0.879181657,-0.191692602,-1.298682585
0.878654199,-0.193988646,-1.298659445
0.878120745,-0.196283242,-1.298636305
0.8775813,-0.198576375,-1.298613166
0.877035867,-0.200868028,-1.298590028
0.87648445,-0.203158187,-1.29856689
0.875927055,-0.205446836,-1.298543753
0.875363684,-0.207733959,-1.298520616
0.874794341,-0.21001954,-1.29849748
0.874219032,-0.212303564,-1.298474345
0.873637761,-0.214586016,-1.29845121
0.873050531,-0.216866879,-1.298428076
0.872457347,-0.219146138,-1.298404942
0.871858213,-0.221423778,-1.298381809
0.871253134,-0.223699784,-1.298358677
0.870642114,-0.225974139,-1.298335545
0.870025158,-0.228246828,-1.298312413
0.869402271,-0.230517835,-1.298289283
0.868773456,-0.232787146,-1.298266153
0.868138718,-0.235054744,-1.298243023
0.867498063,-0.237320615,-1.298219895
0.866851495,-0.239584742,-1.298196766
0.866199018,-0.241847111,-1.298173639
0.865540637,-0.244107706,-1.298150512
0.864876357,-0.246366511,-1.298127385
0.864206184,-0.248623512,-1.298104259
0.863530121,-0.250878692,-1.298081134
0.862848174,-0.253132036,-1.298058009
0.862160348,-0.25538353,-1.298034885
0.861466648,-0.257633157,-1.298011762
0.860767078,-0.259880903,-1.297988639
0.860061645,-0.262126752,-1.297965516
0.859350353,-0.264370688,-1.297942395
0.858633207,-0.266612697,-1.297919274
0.857910212,-0.268852764,-1.297896153
0.857181374,-0.271090872,-1.297873033
0.856446698,-0.273327007,-1.297849914
0.85570619,-0.275561153,-1.297826795
0.854959854,-0.277793296,-1.297803677
0.89784821,0.047054231,-1.304123216
0.897945327,0.044702366,-1.304100193
0.898036284,0.042350316,-1.304077172
0.89812108,0.039998096,-1.30405415
0.898199717,0.037645722,-1.30403113
0.898272193,0.035293211,-1.30400811
0.898338508,0.032940578,-1.30398509
0.898398662,0.03058784,-1.303962071
0.898452655,0.028235012,-1.303939053
0.898500487,0.025882112,-1.303916035
0.898542157,0.023529154,-1.303893018
0.898577667,0.021176156,-1.303870002
0.898607016,0.018823134,-1.303846986
0.898630204,0.016470102,-1.303823971
0.898647231,0.014117079,-1.303800956
0.898658098,0.011764079,-1.303777942
0.898662804,0.009411119,-1.303754928
0.89866135,0.007058215,-1.303731915
0.898653737,0.004705383,-1.303708903
0.898639964,0.002352639,-1.303685891
0.898620033,0,-1.30366288
0.898593943,-0.002352519,-1.303639869
0.898561694,-0.004704901,-1.303616859
0.898523289,-0.007057131,-1.303593849
0.898478727,-0.009409191,-1.303570841
0.898428008,-0.011761067,-1.303547832
0.898371134,-0.014112742,-1.303524825
0.898308105,-0.016464199,-1.303501817
0.898238922,-0.018815423,-1.303478811
0.898163586,-0.021166398,-1.303455805
0.898082097,-0.023517107,-1.3034328
0.897994457,-0.025867535,-1.303409795
0.897900666,-0.028217665,-1.303386791
0.897800725,-0.030567482,-1.303363787
