x,y,z,radial,toroidal angle
0.478152692,0.012520869,-1.452982601,0.478316599,0.026179939
0.478217547,0.010956659,-1.452956153,0.478343047,0.022907446
0.478277286,0.00939216,-1.452929704,0.478369496,0.019634954
0.478331907,0.007827386,-1.452903254,0.478395946,0.016362462
0.478381411,0.006262356,-1.452876802,0.478422398,0.013089969
0.478425795,0.004697085,-1.452850348,0.478448852,0.009817477
0.478465059,0.003131591,-1.452823893,0.478475307,0.006544985
0.478499201,0.001565891,-1.452797437,0.478501763,0.003272492
0.478528221,0,-1.452770979,0.478528221,0
0.478552118,-0.001566064,-1.45274452,0.47855468,-0.003272492
0.478570891,-0.003132284,-1.452718059,0.478581141,-0.006544985
0.478584539,-0.004698644,-1.452691597,0.478607603,-0.009817477
0.478593061,-0.006265126,-1.452665133,0.478634067,-0.013089969
0.478596458,-0.007831715,-1.452638668,0.478660532,-0.016362462
0.478594728,-0.009398393,-1.452612201,0.478686999,-0.019634954
0.47858787,-0.010965144,-1.452585733,0.478713467,-0.022907446
0.478575885,-0.012531951,-1.452559263,0.478739937,-0.026179939
0.478558771,-0.014098796,-1.452532792,0.478766408,-0.029452431
0.478536529,-0.015665664,-1.45250632,0.47879288,-0.032724923
0.478509157,-0.017232537,-1.452479846,0.478819354,-0.035997416
0.478476657,-0.018799399,-1.45245337,0.47884583,-0.039269908
0.478439027,-0.020366233,-1.452426893,0.478872307,-0.042542401
0.478396268,-0.021933022,-1.452400415,0.478898785,-0.045814893
0.478348378,-0.023499749,-1.452373935,0.478925265,-0.049087385
0.478295359,-0.025066398,-1.452347454,0.478951746,-0.052359878
0.478237211,-0.026632951,-1.452320971,0.478978229,-0.05563237
0.478173932,-0.028199392,-1.452294487,0.479004713,-0.058904862
0.478105524,-0.029765705,-1.452268001,0.479031199,-0.062177355
0.478031987,-0.031331872,-1.452241514,0.479057686,-0.065449847
0.47795332,-0.032897876,-1.452215025,0.479084175,-0.068722339
0.477869525,-0.034463701,-1.452188535,0.479110665,-0.071994832
0.4777806,-0.03602933,-1.452162044,0.479137156,-0.075267324
0.477686548,-0.037594747,-1.452135551,0.47916365,-0.078539816
0.477587368,-0.039159933,-1.452109056,0.479190144,-0.081812309
0.47748306,-0.040724874,-1.45208256,0.47921664,-0.085084801
0.477373626,-0.042289551,-1.452056063,0.479243137,-0.088357293
0.477259066,-0.043853948,-1.452029564,0.479269636,-0.091629786
0.47713938,-0.045418048,-1.452003063,0.479296137,-0.094902278
0.477014569,-0.046981834,-1.451976561,0.479322639,-0.09817477
0.476884634,-0.048545291,-1.451950058,0.479349142,-0.101447263
0.476749577,-0.0501084,-1.451923553,0.479375647,-0.104719755
0.476609397,-0.051671145,-1.451897047,0.479402153,-0.107992247
0.476464095,-0.053233509,-1.451870539,0.479428661,-0.11126474
0.476313674,-0.054795476,-1.45184403,0.47945517,-0.114537232
0.476158133,-0.056357029,-1.45181752,0.47948168,-0.117809725
0.475997473,-0.05791815,-1.451791007,0.479508192,-0.121082217
0.475831697,-0.059478824,-1.451764494,0.479534706,-0.124354709
0.475660805,-0.061039033,-1.451737979,0.479561221,-0.127627202
0.475484798,-0.062598761,-1.451711462,0.479587738,-0.130899694
0.475303678,-0.064157991,-1.451684944,0.479614256,-0.134172186
0.475117446,-0.065716706,-1.451658425,0.479640775,-0.137444679
0.474926104,-0.067274889,-1.451631904,0.479667296,-0.140717171
0.474729653,-0.068832524,-1.451605382,0.479693818,-0.143989663
0.474528094,-0.070389593,-1.451578858,0.479720342,-0.147262156
0.474321429,-0.071946081,-1.451552333,0.479746867,-0.150534648
