x,y,z
1.046765177,0.027410511,-2.0633
1.046849272,0.023984839,-2.0632625
1.046922157,0.020558911,-2.063225
1.04698383,0.017132762,-2.0631875
1.04703429,0.01370643,-2.06315
1.047073538,0.010279951,-2.0631125
1.047101572,0.006853362,-2.063075
1.047118393,0.003426699,-2.0630375
1.047124,0,-2.063
1.047118393,-0.003426699,-2.0629625
1.047101572,-0.006853362,-2.062925
1.047073538,-0.010279951,-2.0628875
1.04703429,-0.01370643,-2.06285
1.04698383,-0.017132762,-2.0628125
1.046922157,-0.020558911,-2.062775
1.046849272,-0.023984839,-2.0627375
1.046765177,-0.027410511,-2.0627
1.046669871,-0.030835889,-2.0626625
1.046563357,-0.034260937,-2.062625
1.046445634,-0.037685618,-2.0625875
1.046316705,-0.041109895,-2.06255
1.046176571,-0.044533732,-2.0625125
1.046025233,-0.047957093,-2.062475
1.045862693,-0.051379939,-2.0624375
1.045688953,-0.054802236,-2.0624
1.045504014,-0.058223945,-2.0623625
1.045307879,-0.061645031,-2.062325
1.045100549,-0.065065457,-2.0622875
1.044882027,-0.068485186,-2.06225
1.044652315,-0.071904182,-2.0622125
1.044411416,-0.075322408,-2.062175
1.044159332,-0.078739826,-2.0621375
1.043896066,-0.082156402,-2.0621
1.043621621,-0.085572098,-2.0620625
1.043335999,-0.088986878,-2.062025
1.043039204,-0.092400704,-2.0619875
1.042731239,-0.095813541,-2.06195
1.042412107,-0.099225352,-2.0619125
1.042081812,-0.1026361,-2.061875
1.041740357,-0.106045749,-2.0618375
1.041387745,-0.109454263,-2.0618
1.041023981,-0.112861604,-2.0617625
1.040649069,-0.116267736,-2.061725
1.040263012,-0.119672624,-2.0616875
1.039865815,-0.12307623,-2.06165
1.039457482,-0.126478518,-2.0616125
1.039038016,-0.129879451,-2.061575
1.038607424,-0.133278993,-2.0615375
1.038165709,-0.136677109,-2.0615
1.037712876,-0.14007376,-2.0614625
1.03724893,-0.143468911,-2.061425
1.036773876,-0.146862526,-2.0613875
