x,y,z
1.353148387,0.044297492,-2.06
1.352979652,0.039860066,-2.06
1.352821577,0.03542488,-2.06
1.352674773,0.030991746,-2.06
1.352539785,0.02656047,-2.06
1.352417094,0.022130848,-2.06
1.352307112,0.01770267,-2.06
1.35221018,0.013275719,-2.06
1.352126568,0.008849774,-2.06
1.352056468,0.00442461,-2.06
1.352,0,-2.06
1.351957144,-0.004424285,-2.06
1.351927811,-0.008848473,-2.06
1.35191189,-0.01327279,-2.06
1.351909195,-0.017697461,-2.06
1.351919469,-0.022122705,-2.06
1.351942378,-0.026548738,-2.06
1.351977521,-0.030975771,-2.06
1.352024426,-0.035404006,-2.06
1.352082557,-0.039833637,-2.06
1.352151315,-0.044264851,-2.06
1.35223004,-0.048697823,-2.06
1.352318018,-0.05313272,-2.06
1.352414482,-0.057569694,-2.06
1.352518616,-0.062008887,-2.06
1.352629563,-0.066450429,-2.06
1.352746422,-0.070894436,-2.06
1.352868257,-0.075341009,-2.06
1.352994104,-0.079790238,-2.06
1.353122967,-0.084242195,-2.06
1.353253829,-0.088696942,-2.06
1.353385654,-0.093154523,-2.06
1.353517389,-0.097614969,-2.06
1.353647972,-0.102078297,-2.06
1.353776332,-0.106544508,-2.06
1.353901393,-0.11101359,-2.06
1.354022079,-0.115485517,-2.06
1.354137316,-0.119960248,-2.06
1.354246034,-0.12443773,-2.06
1.354347172,-0.128917895,-2.06
1.354439678,-0.133400665,-2.06
1.354522513,-0.137885946,-2.06
1.354594652,-0.142373635,-2.06
1.354655085,-0.146863615,-2.06
1.354702823,-0.15135576,-2.06
1.354736893,-0.155849931,-2.06
1.354756344,-0.16034598,-2.06
1.354760247,-0.164843749,-2.06
1.354747695,-0.169343069,-2.06
1.354717805,-0.173843765,-2.06
1.354669717,-0.178345652,-2.06
1.354602597,-0.182848535,-2.06
1.354515635,-0.187352214,-2.06
1.354408047,-0.191856481,-2.06
1.354279075,-0.196361121,-2.06
1.354127985,-0.200865912,-2.06
1.353954071,-0.205370628,-2.06
1.353756652,-0.209875034,-2.06
1.353535072,-0.214378895,-2.06
1.353288702,-0.218881966,-2.06
1.353016937,-0.223384,-2.06
1.3569169,0.04442086,-2.0562
1.356755255,0.039971299,-2.0562
1.356603591,0.035523915,-2.0562
1.356462491,0.031078528,-2.0562
1.356332479,0.026634949,-2.0562
1.356214017,0.022192981,-2.0562
1.356107497,0.01775242,-2.0562
1.356013249,0.013313057,-2.0562
1.355931527,0.008874678,-2.0562
1.355862518,0.004437066,-2.0562
1.355806336,0,-2.0562
1.355762963,-0.00443674,-2.0562
1.35573231,-0.008873374,-2.0562
1.355714273,-0.013310121,-2.0562
1.355708675,-0.017747199,-2.0562
1.355715267,-0.022184819,-2.0562
1.355733733,-0.026623191,-2.0562
1.355763686,-0.031062518,-2.0562
1.355804675,-0.035502995,-2.0562
1.355856187,-0.039944812,-2.0562
1.355917646,-0.044388148,-2.0562
1.355988422,-0.048833174,-2.0562
1.356067827,-0.05328005,-2.0562
1.356155127,-0.057728926,-2.0562
1.356249537,-0.062179939,-2.0562
1.356350232,-0.066633214,-2.0562
1.356456348,-0.071088865,-2.0562
1.356566983,-0.075546991,-2.0562
1.356681208,-0.080007677,-2.0562
1.356798062,-0.084470998,-2.0562
1.356916566,-0.088937011,-2.0562
1.357035718,-0.09340576,-2.0562
1.357154502,-0.097877276,-2.0562
1.357271889,-0.102351576,-2.0562
1.357386842,-0.106828661,-2.0562
1.357498319,-0.111308521,-2.0562
1.357605275,-0.11579113,-2.0562
1.357706669,-0.120276449,-2.0562
1.357801459,-0.124764427,-2.0562
1.357888614,-0.129254999,-2.0562
1.357967108,-0.133748086,-2.0562
1.358035929,-0.1382436,-2.0562
1.358094076,-0.142741439,-2.0562
1.358140563,-0.14724149,-2.0562
1.358174421,-0.151743628,-2.0562
1.358194699,-0.15624772,-2.0562
1.358200465,-0.160753619,-2.0562
1.358190807,-0.16526117,-2.0562
1.358164835,-0.169770211,-2.0562
1.35812168,-0.174280567,-2.0562
1.358060497,-0.178792056,-2.0562
1.357980465,-0.18330449,-2.0562
1.357880784,-0.187817671,-2.0562
1.357760682,-0.192331393,-2.0562
1.357619409,-0.196845446,-2.0562
1.357456242,-0.201359612,-2.0562
1.35727048,-0.205873667,-2.0562
1.35706145,-0.210387382,-2.0562
1.356828501,-0.214900523,-2.0562
1.356571011,-0.219412849,-2.0562
1.356288378,-0.223924118,-2.0562
1.360686834,0.044544275,-2.0524
1.360532021,0.040082566,-2.0524
1.36038653,0.035622975,-2.0524
1.360250924,0.031165327,-2.0524
1.360125703,0.026709438,-2.0524
1.360011309,0.022255119,-2.0524
1.35990812,0.017802172,-2.0524
1.359816451,0.013350396,-2.0524
1.359736546,0.008899582,-2.0524
1.359668583,0.004449521,-2.0524
1.359612673,0,-2.0524
1.359568796,-0.004449194,-2.0524
1.359536868,-0.008898275,-2.0524
1.35951679,-0.013347454,-2.0524
1.359508391,-0.01779694,-2.0524
1.359511434,-0.022246939,-2.0524
1.359525615,-0.026697654,-2.0524
1.359550564,-0.03114928,-2.0524
1.359585848,-0.035602008,-2.0524
1.359630976,-0.04005602,-2.0524
1.359685396,-0.044511491,-2.0524
1.359748501,-0.048968585,-2.0524
1.359819633,-0.053427459,-2.0524
1.359898085,-0.057888256,-2.0524
1.359983105,-0.062351111,-2.0524
1.360073897,-0.066816146,-2.0524
1.36016963,-0.07128347,-2.0524
1.360269437,-0.07575318,-2.0524
1.360372421,-0.08022536,-2.0524
1.360477656,-0.084700081,-2.0524
1.360584196,-0.0891774,-2.0524
1.360691074,-0.093657361,-2.0524
1.360797307,-0.098139993,-2.0524
1.360901899,-0.102625314,-2.0524
1.361003846,-0.107113326,-2.0524
1.361102137,-0.111604017,-2.0524
1.36119576,-0.116097365,-2.0524
1.3612837,-0.120593331,-2.0524
1.361364948,-0.125091866,-2.0524
1.361438498,-0.129592906,-2.0524
1.361503352,-0.134096376,-2.0524
1.361558522,-0.138602189,-2.0524
1.361603031,-0.143110245,-2.0524
1.361635916,-0.147620435,-2.0524
1.361656231,-0.152132638,-2.0524
1.361663042,-0.15664672,-2.0524
1.361655439,-0.161162542,-2.0524
1.361632525,-0.16567995,-2.0524
1.361593427,-0.170198784,-2.0524
1.361537292,-0.174718874,-2.0524
1.361463289,-0.179240042,-2.0524
1.361370609,-0.183762102,-2.0524
1.361258464,-0.18828486,-2.0524
1.361126094,-0.192808115,-2.0524
1.360972758,-0.197331658,-2.0524
1.36079774,-0.201855277,-2.0524
1.36060035,-0.206378749,-2.0524
1.360379921,-0.21090185,-2.0524
1.360135809,-0.215424349,-2.0524
1.359867395,-0.219946009,-2.0524
1.359574085,-0.22446659,-2.0524
1.364458113,0.044667734,-2.0486
1.364309886,0.040193866,-2.0486
1.364170346,0.035722058,-2.0486
1.364040032,0.031252141,-2.0486
1.363919425,0.026783937,-2.0486
1.363808949,0.022317263,-2.0486
1.363708967,0.017851928,-2.0486
1.363619778,0.013387736,-2.0486
1.36354162,0.008924486,-2.0486
1.363474662,0.004461976,-2.0486
1.363419009,0,-2.0486
1.363374644,-0.004461649,-2.0486
1.363341485,-0.008923177,-2.0486
1.363319436,-0.013384787,-2.0486
1.363308335,-0.017846684,-2.0486
1.363307954,-0.022309065,-2.0486
1.363318002,-0.026772127,-2.0486
1.363338123,-0.031236059,-2.0486
1.363367904,-0.035701045,-2.0486
1.363406871,-0.040167262,-2.0486
1.363454495,-0.044634879,-2.0486
1.363510195,-0.049104055,-2.0486
1.363573337,-0.053574942,-2.0486
1.363643243,-0.058047681,-2.0486
1.363719187,-0.062522399,-2.0486
1.363800405,-0.066999218,-2.0486
1.363886096,-0.071478242,-2.0486
1.363975425,-0.075959566,-2.0486
1.364067526,-0.080443272,-2.0486
1.364161508,-0.084929428,-2.0486
1.364256454,-0.089418092,-2.0486
1.364351431,-0.093909306,-2.0486
1.364445487,-0.098403098,-2.0486
1.36453766,-0.102899486,-2.0486
1.364626975,-0.107398472,-2.0486
1.364712453,-0.111900047,-2.0486
1.364793111,-0.116404186,-2.0486
1.364867964,-0.120910854,-2.0486
1.364936029,-0.125420002,-2.0486
1.364996328,-0.129931569,-2.0486
1.365047888,-0.134445482,-2.0486
1.365089746,-0.138961656,-2.0486
1.36512095,-0.143479994,-2.0486
1.365140558,-0.148000388,-2.0486
1.365147644,-0.15252272,-2.0486
1.365141297,-0.157046861,-2.0486
1.365120622,-0.161572673,-2.0486
1.365084743,-0.166100007,-2.0486
1.365032802,-0.170628705,-2.0486
1.364963962,-0.1751586,-2.0486
1.364877404,-0.179689519,-2.0486
1.364772333,-0.184221278,-2.0486
1.364647976,-0.188753687,-2.0486
1.36450358,-0.193286547,-2.0486
1.364338416,-0.197819656,-2.0486
1.364151778,-0.202352801,-2.0486
1.363942983,-0.206885767,-2.0486
1.363711371,-0.21141833,-2.0486
1.363456306,-0.215950264,-2.0486
1.363177175,-0.220481335,-2.0486
1.362873388,-0.225011307,-2.0486
1.368230672,0.044791234,-2.0448
1.368088798,0.040305196,-2.0448
1.367954997,0.035821162,-2.0448
1.367829784,0.031338969,-2.0448
1.367713624,0.026858446,-2.0448
1.367606922,0.022379413,-2.0448
1.367510027,0.017901687,-2.0448
1.367423227,0.013425077,-2.0448
1.367346748,0.008949391,-2.0448
1.367280754,0.004474432,-2.0448
1.367225345,0,-2.0448
1.367180505,-0.004474104,-2.0448
1.367146156,-0.008948078,-2.0448
1.367122204,-0.013422122,-2.0448
1.367108494,-0.017896431,-2.0448
1.367104808,-0.022371197,-2.0448
1.367110866,-0.026846609,-2.0448
1.367126328,-0.031322852,-2.0448
1.367150796,-0.035800104,-2.0448
1.367183815,-0.040278534,-2.0448
1.367224878,-0.044758308,-2.0448
1.367273426,-0.04923958,-2.0448
1.367328849,-0.053722497,-2.0448
1.367390494,-0.058207194,-2.0448
1.367457665,-0.062693797,-2.0448
1.367529625,-0.067182422,-2.0448
1.367605601,-0.071673173,-2.0448
1.36768479,-0.076166139,-2.0448
1.367766354,-0.080661403,-2.0448
1.367849434,-0.08515903,-2.0448
1.367933146,-0.089659075,-2.0448
1.368016585,-0.094161581,-2.0448
1.368098832,-0.098666575,-2.0448
1.368178953,-0.103174075,-2.0448
1.368256005,-0.107684083,-2.0448
1.368329037,-0.112196589,-2.0448
1.368397096,-0.116711572,-2.0448
1.368459223,-0.121228996,-2.0448
1.368514464,-0.125748814,-2.0448
1.368561865,-0.130270966,-2.0448
1.368600481,-0.134795382,-2.0448
1.36862937,-0.139321978,-2.0448
1.368647604,-0.14385066,-2.0448
1.368654264,-0.148381323,-2.0448
1.368648442,-0.152913851,-2.0448
1.368629249,-0.157448118,-2.0448
1.368595806,-0.161983988,-2.0448
1.368547256,-0.166521317,-2.0448
1.368482757,-0.171059948,-2.0448
1.368401485,-0.17559972,-2.0448
1.368302637,-0.18014046,-2.0448
1.368185431,-0.184681989,-2.0448
1.368049103,-0.189224119,-2.0448
1.367892914,-0.193766658,-2.0448
1.367716144,-0.198309403,-2.0448
1.367518096,-0.202852147,-2.0448
1.367298094,-0.207394677,-2.0448
1.367055487,-0.211936774,-2.0448
1.366789645,-0.216478213,-2.0448
1.366499959,-0.221018765,-2.0448
1.366185847,-0.225558196,-2.0448
1.372004455,0.044914775,-2.041
1.371868711,0.040416556,-2.041
1.371740445,0.035920288,-2.041
1.371620152,0.031425812,-2.041
1.371508278,0.026932963,-2.041
1.371405213,0.022441568,-2.041
1.371311292,0.017951448,-2.041
1.371226791,0.01346242,-2.041
1.371151927,0.008974297,-2.041
1.371086859,0.004486887,-2.041
1.371031682,0,-2.041
1.37098638,-0.004486558,-2.041
1.370950878,-0.008972981,-2.041
1.370925086,-0.013459458,-2.041
1.370908857,-0.01794618,-2.041
1.370901979,-0.022433333,-2.041
1.370904185,-0.0269211,-2.041
1.370915147,-0.03140966,-2.041
1.370934484,-0.035899183,-2.041
1.37096176,-0.040389836,-2.041
1.370996484,-0.044881778,-2.041
1.371038121,-0.049375158,-2.041
1.371086084,-0.053870119,-2.041
1.371139744,-0.058366792,-2.041
1.371198431,-0.0628653,-2.041
1.371261434,-0.067365754,-2.041
1.37132801,-0.071868256,-2.041
1.371397382,-0.076372893,-2.041
1.371468743,-0.080879744,-2.041
1.371541261,-0.085388874,-2.041
1.371614083,-0.089900337,-2.041
1.371686334,-0.094414172,-2.041
1.371757123,-0.098930409,-2.041
1.371825547,-0.103449064,-2.041
1.37189069,-0.107970139,-2.041
1.371951631,-0.112493625,-2.041
1.372007442,-0.117019501,-2.041
1.372057193,-0.121547733,-2.041
1.372099954,-0.126078274,-2.041
1.372134799,-0.130611068,-2.041
1.372160804,-0.135146043,-2.041
1.372177053,-0.13968312,-2.041
1.372182638,-0.144222207,-2.041
1.372176661,-0.1487632,-2.041
