x,y,z
1.356460196,-0.133599668,-2.06
1.356541766,-0.138091499,-2.06
1.356612619,-0.142585732,-2.06
1.356671745,-0.14708225,-2.06
1.356718155,-0.151580925,-2.06
1.356750875,-0.156081621,-2.06
1.356768956,-0.160584188,-2.06
1.356771467,-0.165088469,-2.06
1.356757502,-0.169594295,-2.06
1.356726178,-0.174101489,-2.06
1.356676635,-0.178609868,-2.06
1.356608039,-0.183119236,-2.06
1.356519581,-0.187629393,-2.06
1.356410475,-0.192140132,-2.06
1.356279964,-0.196651236,-2.06
1.356127315,-0.201162485,-2.06
1.355951821,-0.20567365,-2.06
1.3557528,-0.210184501,-2.06
1.355529599,-0.214694797,-2.06
1.355281586,-0.219204297,-2.06
1.355008158,-0.223712752,-2.06
1.354708736,-0.228219913,-2.06
1.354382767,-0.232725523,-2.06
1.354029721,-0.237229325,-2.06
1.353649095,-0.241731058,-2.06
1.353240409,-0.246230456,-2.06
1.352803206,-0.250727254,-2.06
1.352337055,-0.255221184,-2.06
1.351841547,-0.259711976,-2.06
1.351316296,-0.264199357,-2.06
1.350760939,-0.268683056,-2.06
1.350175136,-0.273162799,-2.06
1.349558569,-0.277638313,-2.06
1.34891094,-0.282109322,-2.06
1.348231975,-0.286575553,-2.06
1.34752142,-0.291036732,-2.06
1.346779042,-0.295492586,-2.06
1.34600463,-0.299942842,-2.06
1.34519799,-0.304387229,-2.06
1.344358953,-0.308825477,-2.06
1.343487365,-0.313257318,-2.06
1.342583096,-0.317682485,-2.06
1.341646032,-0.322100714,-2.06
1.34067608,-0.326511744,-2.06
1.339673166,-0.330915316,-2.06
1.338637235,-0.335311172,-2.06
1.337568251,-0.339699061,-2.06
1.336466194,-0.344078732,-2.06
1.335331066,-0.348449941,-2.06
1.334162886,-0.352812446,-2.06
1.332961689,-0.357166008,-2.06
1.331727532,-0.361510396,-2.06
1.330460487,-0.365845382,-2.06
1.329160645,-0.370170742,-2.06
1.327828115,-0.374486259,-2.06
1.326463023,-0.378791721,-2.06
1.325065514,-0.383086924,-2.06
1.323635751,-0.387371666,-2.06
1.322173912,-0.391645755,-2.06
1.320680195,-0.395909006,-2.06
1.319154817,-0.400161239,-2.06
1.359992528,-0.133947573,-2.0562
1.360060097,-0.138449654,-2.0562
1.36011697,-0.142954054,-2.0562
1.360162162,-0.14746066,-2.0562
1.360194704,-0.151969347,-2.0562
1.360213645,-0.156479981,-2.0562
1.360218052,-0.160992416,-2.0562
1.360207015,-0.165506497,-2.0562
1.360179642,-0.170022061,-2.0562
1.360135065,-0.174538934,-2.0562
1.360072439,-0.179056934,-2.0562
1.359990942,-0.183575871,-2.0562
1.359889777,-0.188095548,-2.0562
1.359768168,-0.19261576,-2.0562
1.359625369,-0.197136296,-2.0562
1.359460653,-0.201656939,-2.0562
1.359273322,-0.206177463,-2.0562
1.359062702,-0.21069764,-2.0562
1.358828144,-0.215217235,-2.0562
1.358569022,-0.219736009,-2.0562
1.358284737,-0.224253718,-2.0562
1.357974715,-0.228770113,-2.0562
1.357638405,-0.233284944,-2.0562
1.35727528,-0.237797955,-2.0562
1.35688484,-0.242308888,-2.0562
1.356466606,-0.246817482,-2.0562
1.356020123,-0.251323475,-2.0562
1.355544961,-0.255826599,-2.0562
1.35504071,-0.26032659,-2.0562
1.354506987,-0.264823177,-2.0562
1.353943427,-0.269316092,-2.0562
1.35334969,-0.273805064,-2.0562
1.352725458,-0.278289822,-2.0562
1.352070434,-0.282770094,-2.0562
1.351384341,-0.287245609,-2.0562
1.350666925,-0.291716096,-2.0562
1.349917952,-0.296181284,-2.0562
1.349137209,-0.300640904,-2.0562
1.348324503,-0.305094687,-2.0562
1.347479662,-0.309542365,-2.0562
1.346602533,-0.313983673,-2.0562
1.345692982,-0.318418347,-2.0562
