x,y,z
1.345483293,-0.313722703,-2.06
1.344576999,-0.318154283,-2.06
1.34363789,-0.322578917,-2.06
1.342665872,-0.326996343,-2.06
1.341660872,-0.331406303,-2.06
1.340622834,-0.335808539,-2.06
1.339551722,-0.340202798,-2.06
1.338447518,-0.344588832,-2.06
1.337310222,-0.348966395,-2.06
1.336139852,-0.353335244,-2.06
1.334936447,-0.357695143,-2.06
1.333700061,-0.362045858,-2.06
1.332430766,-0.366387162,-2.06
1.331128655,-0.370718832,-2.06
1.329793835,-0.375040649,-2.06
1.328426433,-0.379352403,-2.06
1.327026594,-0.383653887,-2.06
1.32559448,-0.387944902,-2.06
1.324130271,-0.392225256,-2.06
1.322634165,-0.39649476,-2.06
1.321106376,-0.400753238,-2.06
1.319547139,-0.405000517,-2.06
1.317956704,-0.409236434,-2.06
1.31633534,-0.413460834,-2.06
1.314683333,-0.417673569,-2.06
1.31300099,-0.421874502,-2.06
1.311288633,-0.426063504,-2.06
1.309546602,-0.430240456,-2.06
1.307775259,-0.434405248,-2.06
1.305974979,-0.438557782,-2.06
1.30414616,-0.442697968,-2.06
1.302289217,-0.446825731,-2.06
1.300404583,-0.450941004,-2.06
1.298492712,-0.455043734,-2.06
1.296554074,-0.459133878,-2.06
1.294589162,-0.463211409,-2.06
1.292598484,-0.46727631,-2.06
1.29058257,-0.47132858,-2.06
1.288541971,-0.47536823,-2.06
1.286477253,-0.479395287,-2.06
1.284389007,-0.483409792,-2.06
1.28227784,-0.487411801,-2.06
1.28014438,-0.491401387,-2.06
1.277989275,-0.495378638,-2.06
1.275813195,-0.499343659,-2.06
1.273616825,-0.503296572,-2.06
1.271400874,-0.507237516,-2.06
1.26916607,-0.511166648,-2.06
1.266913158,-0.515084143,-2.06
1.264642905,-0.518990195,-2.06
1.262356096,-0.522885016,-2.06
1.260053534,-0.526768837,-2.06
1.25773604,-0.530641908,-2.06
1.255404453,-0.534504501,-2.06
1.253059628,-0.538356902,-2.06
1.250702437,-0.542199423,-2.06
1.248333767,-0.546032391,-2.06
1.245954518,-0.549856154,-2.06
1.243565604,-0.553671079,-2.06
1.24116795,-0.557477554,-2.06
1.238762491,-0.561275983,-2.06
1.348602966,-0.314450109,-2.0562
1.347691396,-0.318891213,-2.0562
1.346747269,-0.323325413,-2.0562
1.345770492,-0.327752451,-2.0562
1.34476099,-0.332172069,-2.0562
1.343718706,-0.336584014,-2.0562
1.342643602,-0.340988036,-2.0562
1.34153566,-0.345383887,-2.0562
1.340394879,-0.349771325,-2.0562
1.339221277,-0.354150111,-2.0562
1.33801489,-0.358520009,-2.0562
1.336775772,-0.36288079,-2.0562
1.335503997,-0.367232229,-2.0562
1.334199654,-0.371574104,-2.0562
1.332862852,-0.375906202,-2.0562
1.331493717,-0.380228313,-2.0562
1.330092392,-0.384540234,-2.0562
1.328659041,-0.388841769,-2.0562
1.327193843,-0.393132727,-2.0562
1.325696994,-0.397412925,-2.0562
1.324168711,-0.401682187,-2.0562
1.322609226,-0.405940345,-2.0562
1.32101879,-0.410187237,-2.0562
1.319397673,-0.414422713,-2.0562
1.31774616,-0.418646626,-2.0562
1.316064557,-0.422858843,-2.0562
1.314353185,-0.427059238,-2.0562
1.312612387,-0.431247693,-2.0562
1.31084252,-0.435424104,-2.0562
1.309043962,-0.439588373,-2.0562
1.307217108,-0.443740415,-2.0562
1.305362373,-0.447880155,-2.0562
1.30348019,-0.452007531,-2.0562
1.301571009,-0.456122492,-2.0562
1.2996353,-0.460224997,-2.0562
1.297673553,-0.464315022,-2.0562
1.295686275,-0.468392551,-2.0562
1.293673994,-0.472457586,-2.0562
1.291637255,-0.476510141,-2.0562
1.289576624,-0.480550242,-2.0562
1.287492685,-0.484577934,-2.0562
1.285386042,-0.488593273,-2.0562
1.283257319,-0.492596332,-2.0562
1.281107158,-0.496587202,-2.0562
1.27893622,-0.500565988,-2.0562
1.276745188,-0.50453281,-2.0562
1.27453476,-0.508487809,-2.0562
1.272305656,-0.512431141,-2.0562
1.270058614,-0.516362979,-2.0562
1.267794388,-0.520283515,-2.0562
1.265513754,-0.52419296,-2.0562
1.263217502,-0.528091542,-2.0562
1.260906442,-0.531979509,-2.0562
1.258581398,-0.535857125,-2.0562
1.25624321,-0.539724677,-2.0562
1.253892735,-0.543582468,-2.0562
1.251530842,-0.54743082,-2.0562
1.249158413,-0.551270075,-2.0562
1.246776343,-0.555100592,-2.0562
1.244385535,-0.55892275,-2.0562
1.241986905,-0.562736945,-2.0562
1.351739585,-0.315181466,-2.0524
1.350822806,-0.319632168,-2.0524
1.349873724,-0.324076009,-2.0524
1.348892241,-0.32851273,-2.0524
1.347878281,-0.332942077,-2.0524
1.346831787,-0.3373638,-2.0524
1.345752719,-0.341777651,-2.0524
1.344641058,-0.346183385,-2.0524
1.343496802,-0.350580761,-2.0524
1.342319969,-0.354969544,-2.0524
1.341110592,-0.3593495,-2.0524
1.339868727,-0.363720403,-2.0524
1.338594445,-0.368082029,-2.0524
1.337287835,-0.372434161,-2.0524
1.335949006,-0.376776587,-2.0524
1.334578084,-0.381109101,-2.0524
1.333175213,-0.385431502,-2.0524
1.331740554,-0.389743596,-2.0524
1.330274287,-0.394045196,-2.0524
1.32877661,-0.398336122,-2.0524
1.327247738,-0.4026162,-2.0524
1.325687905,-0.406885265,-2.0524
1.32409736,-0.411143159,-2.0524
1.322476374,-0.415389732,-2.0524
1.320825232,-0.419624844,-2.0524
1.31914424,-0.423848363,-2.0524
1.317433721,-0.428060164,-2.0524
1.315694014,-0.432260136,-2.0524
1.313925479,-0.436448174,-2.0524
1.312128492,-0.440624185,-2.0524
1.310303449,-0.444788086,-2.0524
1.308450762,-0.448939806,-2.0524
1.306570864,-0.453079284,-2.0524
1.304664204,-0.457206471,-2.0524
1.30273125,-0.461321331,-2.0524
1.30077249,-0.465423839,-2.0524
1.298788429,-0.469513985,-2.0524
1.296779592,-0.47359177,-2.0524
1.294746521,-0.47765721,-2.0524
1.292689778,-0.481710334,-2.0524
1.290609944,-0.485751187,-2.0524
1.288507618,-0.489779827,-2.0524
1.286383417,-0.493796329,-2.0524
1.284237979,-0.497800782,-2.0524
1.282071959,-0.501793292,-2.0524
1.27988603,-0.505773981,-2.0524
1.277680886,-0.509742986,-2.0524
1.275457236,-0.513700464,-2.0524
1.273215808,-0.517646588,-2.0524
1.270957348,-0.521581546,-2.0524
1.268682619,-0.525505547,-2.0524
1.266392401,-0.529418817,-2.0524
1.264087488,-0.5333216,-2.0524
1.261768692,-0.537214157,-2.0524
1.25943684,-0.541096769,-2.0524
1.257092769,-0.544969734,-2.0524
1.254737334,-0.548833368,-2.0524
1.252371399,-0.552688008,-2.0524
1.249995838,-0.556534004,-2.0524
1.247611537,-0.560371727,-2.0524
1.245219387,-0.564201564,-2.0524
1.354892753,-0.315916681,-2.0486
1.353970845,-0.320377058,-2.0486
1.353016876,-0.324830613,-2.0486
1.352030749,-0.32927709,-2.0486
1.351012383,-0.333716238,-2.0486
1.349961722,-0.338147808,-2.0486
1.348878724,-0.342571555,-2.0486
1.347763368,-0.346987236,-2.0486
1.346615651,-0.351394614,-2.0486
1.345435589,-0.355793454,-2.0486
1.344223218,-0.360183526,-2.0486
1.342978588,-0.364564605,-2.0486
1.341701773,-0.368936471,-2.0486
1.340392861,-0.37329891,-2.0486
1.33905196,-0.377651711,-2.0486
1.337679195,-0.38199467,-2.0486
1.336274712,-0.386327591,-2.0486
1.334838671,-0.390650282,-2.0486
1.333371253,-0.394962559,-2.0486
1.331872655,-0.399264243,-2.0486
1.330343094,-0.403555166,-2.0486
1.328782802,-0.407835163,-2.0486
1.327192032,-0.41210408,-2.0486
1.325571052,-0.41636177,-2.0486
1.32392015,-0.420608097,-2.0486
1.322239631,-0.424842929,-2.0486
1.320529819,-0.429066148,-2.0486
1.318791053,-0.433277642,-2.0486
1.317023692,-0.437477311,-2.0486
1.315228114,-0.441665065,-2.0486
1.313404713,-0.445840824,-2.0486
1.311553902,-0.450004518,-2.0486
1.309676111,-0.454156089,-2.0486
1.307771789,-0.458295493,-2.0486
1.305841404,-0.462422694,-2.0486
1.30388544,-0.46653767,-2.0486
1.3019044,-0.470640413,-2.0486
1.299898807,-0.474730926,-2.0486
1.297869201,-0.478809227,-2.0486
1.295816138,-0.482875346,-2.0486
1.293740196,-0.48692933,-2.0486
1.291641969,-0.490971238,-2.0486
1.28952207,-0.495001145,-2.0486
1.287381129,-0.499019141,-2.0486
1.285219795,-0.503025331,-2.0486
1.283038735,-0.507019838,-2.0486
1.280838633,-0.511002799,-2.0486
1.27862019,-0.514974369,-2.0486
1.276384124,-0.518934718,-2.0486
1.274131172,-0.522884035,-2.0486
1.271862084,-0.526822525,-2.0486
1.269577627,-0.53075041,-2.0486
1.267278585,-0.534667932,-2.0486
1.264965755,-0.538575347,-2.0486
1.262639947,-0.542472932,-2.0486
1.260301984,-0.546360979,-2.0486
1.257952703,-0.5502398,-2.0486
1.255592951,-0.554109721,-2.0486
1.253223583,-0.557971088,-2.0486
1.250845465,-0.561824264,-2.0486
1.248459467,-0.565669625,-2.0486
1.358060097,-0.316655202,-2.0448
1.357133044,-0.321125299,-2.0448
1.356174171,-0.325588612,-2.0448
1.355183379,-0.33004489,-2.0448
1.354160589,-0.334493883,-2.0448
1.353105741,-0.338935344,-2.0448
1.352018793,-0.343369031,-2.0448
1.350899722,-0.347794704,-2.0448
1.349748526,-0.352212126,-2.0448
1.348565219,-0.356621068,-2.0448
1.347349835,-0.3610213,-2.0448
1.346102426,-0.365412601,-2.0448
1.344823064,-0.369794753,-2.0448
1.343511836,-0.374167543,-2.0448
1.342168851,-0.378530765,-2.0448
1.340794233,-0.382884217,-2.0448
1.339388126,-0.387227704,-2.0448
1.337950693,-0.391561038,-2.0448
1.336482112,-0.395884037,-2.0448
1.334982582,-0.400196527,-2.0448
1.333452318,-0.404498338,-2.0448
1.331891553,-0.408789313,-2.0448
1.33030054,-0.413069297,-2.0448
1.328679547,-0.417338148,-2.0448
1.327028861,-0.421595731,-2.0448
1.325348787,-0.425841918,-2.0448
1.323639648,-0.430076593,-2.0448
1.321901785,-0.434299647,-2.0448
1.320135555,-0.438510982,-2.0448
1.318341335,-0.442710512,-2.0448
1.316519517,-0.446898157,-2.0448
