x,y,z
1.286278787,-0.484121055,-2.06
1.284165754,-0.488129424,-2.06
1.282030407,-0.492125365,-2.06
1.279873393,-0.496108966,-2.06
1.277695382,-0.500080333,-2.06
1.275497061,-0.504039587,-2.06
1.273279137,-0.507986866,-2.06
1.271042338,-0.51192233,-2.06
1.268787411,-0.515846151,-2.06
1.266515121,-0.519758524,-2.06
1.264226253,-0.52365966,-2.06
1.261921611,-0.527549792,-2.06
1.259602016,-0.531429168,-2.06
1.257268307,-0.53529806,-2.06
1.254921339,-0.539156757,-2.06
1.252561984,-0.543005566,-2.06
1.250191128,-0.546844817,-2.06
1.247809672,-0.550674857,-2.06
1.245418529,-0.554496055,-2.06
1.243018626,-0.558308795,-2.06
1.240610896,-0.562113484,-2.06
1.238196283,-0.565910545,-2.06
1.235775738,-0.569700419,-2.06
1.233350216,-0.573483564,-2.06
1.230920674,-0.577260456,-2.06
1.22848807,-0.581031585,-2.06
1.226053361,-0.584797455,-2.06
1.223617496,-0.588558584,-2.06
1.221181419,-0.592315501,-2.06
1.218746063,-0.596068747,-2.06
1.216312346,-0.59981887,-2.06
1.213881172,-0.603566427,-2.06
1.211453422,-0.607311977,-2.06
1.209029954,-0.611056086,-2.06
1.206611601,-0.614799318,-2.06
1.204199162,-0.618542238,-2.06
1.201793404,-0.622285406,-2.06
1.199395056,-0.626029376,-2.06
1.197004807,-0.629774694,-2.06
1.194623298,-0.633521897,-2.06
1.192251127,-0.637271504,-2.06
1.189888837,-0.641024023,-2.06
1.18753692,-0.644779939,-2.06
1.185195809,-0.648539719,-2.06
1.182865882,-0.652303806,-2.06
1.180547452,-0.656072616,-2.06
1.178240771,-0.659846536,-2.06
1.175946026,-0.663625926,-2.06
1.173663339,-0.667411112,-2.06
1.171392766,-0.671202384,-2.06
1.169134295,-0.675,-2.06
1.166887796,-0.678804148,-2.06
1.164653077,-0.68261498,-2.06
1.162429929,-0.686432638,-2.06
1.16021808,-0.690257223,-2.06
1.158017195,-0.694088796,-2.06
1.155826879,-0.697927378,-2.06
1.153646678,-0.701772949,-2.06
1.151476082,-0.705625451,-2.06
1.149314531,-0.709484783,-2.06
1.147161412,-0.713350806,-2.06
1.289387286,-0.485291011,-2.0562
1.287278763,-0.489312722,-2.0562
1.285148138,-0.49332215,-2.0562
1.282996054,-0.497319383,-2.0562
1.280823172,-0.501304526,-2.0562
1.278630173,-0.505277702,-2.0562
1.276417758,-0.509239049,-2.0562
1.274186646,-0.513188724,-2.0562
1.271937573,-0.5171269,-2.0562
1.269671296,-0.52105377,-2.0562
1.267388589,-0.524969542,-2.0562
1.265090243,-0.528874447,-2.0562
1.262777068,-0.53276873,-2.0562
1.260449887,-0.536652659,-2.0562
1.258109541,-0.540526516,-2.0562
1.255756887,-0.544390607,-2.0562
1.253392793,-0.548245254,-2.0562
1.251018143,-0.552090798,-2.0562
1.248633829,-0.555927598,-2.0562
1.246240758,-0.559756034,-2.0562
1.243839842,-0.5635765,-2.0562
1.241432003,-0.567389412,-2.0562
1.239018166,-0.571195198,-2.0562
1.236599262,-0.574994307,-2.0562
1.234176223,-0.578787199,-2.0562
1.231749979,-0.582574353,-2.0562
1.229321458,-0.586356257,-2.0562
1.226891584,-0.590133416,-2.0562
1.224461268,-0.593906342,-2.0562
1.222031416,-0.597675559,-2.0562
1.219602915,-0.601441599,-2.0562
1.217176636,-0.605204999,-2.0562
1.214753433,-0.608966301,-2.0562
1.212334131,-0.612726051,-2.0562
1.209919533,-0.616484794,-2.0562
1.207510408,-0.620243075,-2.0562
1.205107495,-0.624001433,-2.0562
1.202711494,-0.627760405,-2.0562
1.200323065,-0.631520515,-2.0562
1.197942826,-0.635282279,-2.0562
1.195571348,-0.639046199,-2.0562
1.193209152,-0.642812763,-2.0562
1.190856709,-0.646582438,-2.0562
1.188514434,-0.650355672,-2.0562
1.186182686,-0.654132893,-2.0562
1.183861766,-0.657914499,-2.0562
1.181551914,-0.661700866,-2.0562
1.179253308,-0.665492337,-2.0562
1.176966063,-0.669289226,-2.0562
1.174690232,-0.673091816,-2.0562
1.172425803,-0.676900353,-2.0562
1.170172649,-0.680715019,-2.0562
1.167930586,-0.684535962,-2.0562
1.165699412,-0.688363318,-2.0562
1.163478866,-0.692197187,-2.0562
1.161268627,-0.696037629,-2.0562
1.159068314,-0.699884666,-2.0562
1.156877493,-0.703738282,-2.0562
1.154695675,-0.70759842,-2.0562
1.15252232,-0.711464987,-2.0562
1.150356841,-0.715337852,-2.0562
1.292509381,-0.486466084,-2.0524
1.29040516,-0.49050111,-2.0524
1.288279044,-0.494523992,-2.0524
1.286131668,-0.498534821,-2.0524
1.28396369,-0.502533701,-2.0524
1.281775781,-0.506520756,-2.0524
1.279568635,-0.510496122,-2.0524
1.277342962,-0.514459956,-2.0524
1.27509949,-0.518412429,-2.0524
1.272838965,-0.522353733,-2.0524
1.270562149,-0.526284074,-2.0524
1.268269822,-0.530203679,-2.0524
1.26596278,-0.53411279,-2.0524
1.263641833,-0.538011671,-2.0524
1.261307808,-0.5419006,-2.0524
1.258961545,-0.545779878,-2.0524
1.256603895,-0.549649819,-2.0524
1.254235723,-0.553510758,-2.0524
1.251857905,-0.557363049,-2.0524
1.249471325,-0.561207061,-2.0524
1.247076875,-0.565043181,-2.0524
1.244675455,-0.568871813,-2.0524
1.242267966,-0.572693377,-2.0524
1.239855317,-0.576508308,-2.0524
1.237438412,-0.580317056,-2.0524
1.235018157,-0.584120086,-2.0524
1.232595453,-0.587917873,-2.0524
1.230171195,-0.591710905,-2.0524
1.227746269,-0.595499682,-2.0524
1.22532155,-0.59928471,-2.0524
1.222897897,-0.603066504,-2.0524
1.220476152,-0.606845585,-2.0524
1.218057139,-0.610622477,-2.0524
1.215641655,-0.614397707,-2.0524
1.213230473,-0.618171802,-2.0524
1.210824335,-0.621945288,-2.0524
1.208423951,-0.625718685,-2.0524
1.206029995,-0.629492511,-2.0524
1.203643102,-0.63326727,-2.0524
1.201263863,-0.637043461,-2.0524
1.198892827,-0.640821567,-2.0524
1.196530495,-0.644602056,-2.0524
1.194177316,-0.64838538,-2.0524
1.191833688,-0.65217197,-2.0524
1.189499956,-0.655962236,-2.0524
1.187176405,-0.659756563,-2.0524
1.184863266,-0.663555312,-2.0524
1.182560707,-0.667358814,-2.0524
1.180268839,-0.671167371,-2.0524
1.177987711,-0.674981256,-2.0524
1.17571731,-0.678800706,-2.0524
1.173457515,-0.682625897,-2.0524
1.171208146,-0.686456973,-2.0524
1.16896901,-0.690294065,-2.0524
1.166739855,-0.694137271,-2.0524
1.164520373,-0.69798665,-2.0524
1.162310199,-0.701842226,-2.0524
1.160108916,-0.705703983,-2.0524
1.157916053,-0.70957187,-2.0524
1.155731093,-0.713445799,-2.0524
1.153553471,-0.717325644,-2.0524
1.295644482,-0.487646053,-2.0486
1.293544347,-0.491694359,-2.0486
1.291422518,-0.495730659,-2.0486
1.289279626,-0.499755043,-2.0486
1.28711632,-0.503767617,-2.0486
1.284933266,-0.507768502,-2.0486
1.282731148,-0.511757837,-2.0486
1.280510668,-0.515735774,-2.0486
1.278272545,-0.519702486,-2.0486
1.276017513,-0.52365816,-2.0486
1.273746324,-0.527603002,-2.0486
1.271459745,-0.531537235,-2.0486
1.26915856,-0.535461097,-2.0486
1.266843564,-0.539374848,-2.0486
1.264515569,-0.543278763,-2.0486
1.262175399,-0.547173135,-2.0486
1.259823889,-0.551058273,-2.0486
1.257461886,-0.554934507,-2.0486
1.255090247,-0.558802181,-2.0486
1.252709836,-0.562661656,-2.0486
1.250321524,-0.566513312,-2.0486
1.247926189,-0.570357543,-2.0486
1.245524712,-0.574194757,-2.0486
1.243117974,-0.578025379,-2.0486
1.240706858,-0.581849848,-2.0486
1.238292244,-0.585668614,-2.0486
1.235875007,-0.58948214,-2.0486
1.233456016,-0.5932909,-2.0486
1.23103613,-0.597095379,-2.0486
1.228616195,-0.600896067,-2.0486
1.226197045,-0.604693464,-2.0486
1.223779493,-0.608488073,-2.0486
1.221364335,-0.612280403,-2.0486
1.218952341,-0.616070961,-2.0486
1.216544256,-0.619860259,-2.0486
1.214140796,-0.623648802,-2.0486
1.211742644,-0.627437095,-2.0486
1.209350448,-0.631225635,-2.0486
1.206964819,-0.635014911,-2.0486
1.204586327,-0.6388054,-2.0486
1.202215497,-0.642597571,-2.0486
1.199852809,-0.646391873,-2.0486
1.197498696,-0.650188742,-2.0486
1.195153538,-0.653988593,-2.0486
1.192817665,-0.657791821,-2.0486
1.19049135,-0.661598797,-2.0486
1.188174814,-0.665409868,-2.0486
1.185868217,-0.669225353,-2.0486
1.183571665,-0.673045544,-2.0486
1.181285203,-0.676870702,-2.0486
1.179008818,-0.680701059,-2.0486
1.176742393,-0.684536783,-2.0486
1.174485755,-0.688378013,-2.0486
1.172238717,-0.692224877,-2.0486
1.170001038,-0.696077471,-2.0486
1.16777242,-0.699935853,-2.0486
1.165552514,-0.703800046,-2.0486
1.163340918,-0.707670037,-2.0486
1.161137181,-0.711545779,-2.0486
1.158940804,-0.715427189,-2.0486
1.156751245,-0.719314148,-2.0486
1.298792065,-0.488830719,-2.0448
1.296695853,-0.49289229,-2.0448
1.294578138,-0.496941988,-2.0448
1.292439546,-0.500979902,-2.0448
1.290280718,-0.505006138,-2.0448
1.288102314,-0.509020818,-2.0448
1.285905009,-0.513024079,-2.0448
1.283689497,-0.517016072,-2.0448
1.281456486,-0.520996969,-2.0448
1.279206702,-0.524966955,-2.0448
1.276940885,-0.528926233,-2.0448
1.274659791,-0.532875023,-2.0448
1.272364189,-0.53681356,-2.0448
1.270054863,-0.5407421,-2.0448
1.267732609,-0.544660913,-2.0448
1.265398235,-0.548570286,-2.0448
1.263052561,-0.552470523,-2.0448
1.260696416,-0.556361947,-2.0448
1.258330638,-0.560244895,-2.0448
1.255956071,-0.564119721,-2.0448
1.253573569,-0.567986795,-2.0448
1.251183986,-0.5718465,-2.0448
1.248788182,-0.575699237,-2.0448
1.246387016,-0.579545419,-2.0448
1.243981346,-0.583385473,-2.0448
1.241572029,-0.587219836,-2.0448
1.239159915,-0.59104896,-2.0448
1.236745847,-0.594873305,-2.0448
1.234330658,-0.59869334,-2.0448
1.231915169,-0.602509541,-2.0448
1.229500186,-0.606322393,-2.0448
1.227086496,-0.610132383,-2.0448
1.224674869,-0.613940002,-2.0448
1.222266049,-0.617745743,-2.0448
1.219860753,-0.621550099,-2.0448
1.217459674,-0.625353559,-2.0448
1.215063468,-0.629156609,-2.0448
1.212672761,-0.63295973,-2.0448
1.210288139,-0.636763394,-2.0448
1.20791015,-0.640568061,-2.0448
1.2055393,-0.644374181,-2.0448
1.203176049,-0.648182189,-2.0448
1.200820813,-0.651992505,-2.0448
1.198473956,-0.655805528,-2.0448
1.196135793,-0.659621638,-2.0448
1.193806588,-0.663441194,-2.0448
1.19148655,-0.667264529,-2.0448
1.189175833,-0.671091952,-2.0448
1.186874538,-0.674923744,-2.0448
1.184582706,-0.678760156,-2.0448
1.182300326,-0.682601411,-2.0448
1.180027283,-0.686447675,-2.0448
1.17776341,-0.690299079,-2.0448
1.175508528,-0.69415575,-2.0448
1.173262404,-0.69801778,-2.0448
1.171024752,-0.701885225,-2.0448
1.168795236,-0.705758111,-2.0448
1.16657347,-0.709636425,-2.0448
1.164359019,-0.713520125,-2.0448
1.162151405,-0.717409129,-2.0448
1.159950105,-0.721303327,-2.0448
1.301951356,-0.490019792,-2.041
1.299858932,-0.494094621,-2.041
1.297745186,-0.498157704,-2.041
1.295610737,-0.50220913,-2.041
1.293456219,-0.506249006,-2.041
1.291282286,-0.510277452,-2.041
1.289089605,-0.514294604,-2.041
1.28687886,-0.518300614,-2.041
1.284650752,-0.52229565,-2.041
1.282405995,-0.526279896,-2.041
1.28014532,-0.530253553,-2.041
1.277869468,-0.534216837,-2.041
1.275579199,-0.538169981,-2.041
1.273275283,-0.542113235,-2.041
1.2709585,-0.546046865,-2.041
1.268629645,-0.549971153,-2.041
1.26628952,-0.553886398,-2.041
1.263938939,-0.557792916,-2.041
1.261578721,-0.561691035,-2.041
1.259209693,-0.565581104,-2.041
1.256832688,-0.569463482,-2.041
1.25444854,-0.573338546,-2.041
1.252058087,-0.577206684,-2.041
1.249662167,-0.5810683,-2.041
1.247261616,-0.584923809,-2.041
1.244857267,-0.588773638,-2.041
1.242449946,-0.592618225,-2.041
1.240040471,-0.596458016,-2.041
1.237629651,-0.600293467,-2.041
1.235218283,-0.60412504,-2.041
1.232807145,-0.607953205,-2.041
1.230397002,-0.611778433,-2.041
1.227988595,-0.615601201,-2.041
1.225582645,-0.619421985,-2.041
1.223179846,-0.623241261,-2.041
1.220780862,-0.627059502,-2.041
1.21838633,-0.630877178,-2.041
1.21599685,-0.634694753,-2.041
1.213612989,-0.638512682,-2.041
1.211235272,-0.642331409,-2.041
1.208864186,-0.646151369,-2.041
1.206500174,-0.649972981,-2.041
1.204143633,-0.653796649,-2.041
1.201794915,-0.657622758,-2.041
1.199454322,-0.661451676,-2.041
1.197122106,-0.665283746,-2.041
1.194798466,-0.669119291,-2.041
1.192483551,-0.672958609,-2.041
1.190177456,-0.676801969,-2.041
1.187880221,-0.680649616,-2.041
1.185591833,-0.684501764,-2.041
1.183312183,-0.688358573,-2.041
1.181041108,-0.692220172,-2.041
1.178778437,-0.696086682,-2.041
1.176523944,-0.699958192,-2.041
1.174277355,-0.70383476,-2.041
1.172038345,-0.70771641,-2.041
1.169806544,-0.711603132,-2.041
1.167581534,-0.715494884,-2.041
1.165362854,-0.719391593,-2.041
1.163150002,-0.723293151,-2.041
1.305122544,-0.491213343,-2.0372
1.303033722,-0.495301403,-2.0372
1.300923752,-0.499377841,-2.0372
1.298793245,-0.503442745,-2.0372
1.296642831,-0.507496222,-2.0372
1.294473155,-0.511538391,-2.0372
1.292284876,-0.515569388,-2.0372
1.290078671,-0.519589363,-2.0372
1.28785523,-0.523598482,-2.0372
1.285615257,-0.527596929,-2.0372
1.283359472,-0.531584899,-2.0372
1.281088607,-0.535562607,-2.0372
1.278803407,-0.539530282,-2.0372
1.276504628,-0.54348817,-2.0372
1.27419304,-0.547436533,-2.0372
1.271869419,-0.551375647,-2.0372
1.269534555,-0.555305805,-2.0372
1.267189242,-0.559227317,-2.0372
1.264834284,-0.563140505,-2.0372
1.262470489,-0.567045709,-2.0372
1.26009867,-0.570943279,-2.0372
1.257719643,-0.574833585,-2.0372
1.255334225,-0.578717004,-2.0372
1.252943232,-0.582593931,-2.0372
1.250547479,-0.586464769,-2.0372
1.248147776,-0.590329933,-2.0372
1.245744925,-0.594189849,-2.0372
1.243339723,-0.598044952,-2.0372
1.240932954,-0.601895683,-2.0372
1.238525389,-0.605742492,-2.0372
1.236117786,-0.609585832,-2.0372
1.233710881,-0.613426162,-2.0372
1.231305395,-0.617263941,-2.0372
1.228902023,-0.621099632,-2.0372
1.226501434,-0.624933695,-2.0372
1.224104272,-0.628766586,-2.0372
1.22171115,-0.632598761,-2.0372
1.219322647,-0.636430667,-2.0372
1.216939308,-0.640262743,-2.0372
1.21456164,-0.644095419,-2.0372
1.21219011,-0.647929113,-2.0372
1.209825146,-0.65176423,-2.0372
1.207467128,-0.655601159,-2.0372
1.205116394,-0.659440273,-2.0372
1.202773235,-0.663281925,-2.0372
1.200437891,-0.667126447,-2.0372
1.198110554,-0.67097415,-2.0372
1.195791366,-0.67482532,-2.0372
1.193480418,-0.678680219,-2.0372
1.191177747,-0.682539083,-2.0372
1.188883341,-0.686402117,-2.0372
1.186597094,-0.690269478,-2.0372
1.184318849,-0.694141289,-2.0372
1.18204844,-0.698017668,-2.0372
1.179785651,-0.701898704,-2.0372
1.177530216,-0.70578445,-2.0372
1.175281825,-0.709674933,-2.0372
1.17304012,-0.713570143,-2.0372
1.170804698,-0.717470042,-2.0372
1.168575116,-0.721374558,-2.0372
1.16635089,-0.725283591,-2.0372
